No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue
372,DDOG,"Datadog, Inc.",30.08B,92.54,-0.06%,1.90B
373,WST,"West Pharmaceutical Services, Inc.",29.79B,403.37,2.45%,2.87B
374,ARGX,argenx SE,29.77B,508.61,0.30%,10.74M
375,ORAN,Orange S.A.,29.57B,11.12,0.45%,46.25B
376,OKE,"ONEOK, Inc.",29.27B,65.38,0.66%,19.20B
377,GFS,GLOBALFOUNDRIES Inc.,29.15B,52.74,0.42%,7.86B
378,BNTX,BioNTech SE,28.94B,120.68,2.61%,10.09B
379,CCEP,Coca-Cola Europacific Partners PLC,28.84B,62.84,-1.01%,19.80B
380,BCS,Barclays PLC,28.78B,7.47,1.77%,32.42B
381,VMC,Vulcan Materials Company,28.58B,215.11,0.13%,7.58B
382,CHT,"Chunghwa Telecom Co., Ltd.",28.50B,36.74,0.41%,7.09B
383,GOLD,Barrick Gold Corporation,28.42B,16.19,1.76%,10.78B
384,MBLY,Mobileye Global Inc.,28.09B,34.86,0.81%,1.93B
385,EXR,Extra Space Storage Inc.,28.08B,128.53,0.47%,2.02B
386,SLF,Sun Life Financial Inc.,28.01B,47.71,0.40%,27.07B
387,APTV,Aptiv PLC,27.96B,98.87,1.29%,19.27B
388,IR,Ingersoll-Rand Inc,27.94B,69.10,0.29%,6.46B
389,GLW,Corning Incorporated,27.85B,32.65,0.68%,13.32B
390,CDW,CDW Corporation,27.73B,206.85,1.40%,22.38B
391,ALL,The Allstate Corporation,27.71B,105.42,0.27%,54.62B
392,ACGL,Arch Capital Group Ltd.,27.67B,74.19,-0.58%,11.79B
393,SPOT,Spotify Technology S.A.,27.50B,141.26,2.94%,13.65B
394,DLTR,"Dollar Tree, Inc.",27.45B,124.56,1.01%,29.31B
395,ALGN,"Align Technology, Inc.",27.45B,358.66,0.65%,3.74B
396,DAL,"Delta Air Lines, Inc.",27.29B,42.41,1.70%,55.75B
397,FTV,Fortive Corporation,27.29B,77.51,0.64%,5.97B
398,AWK,"American Water Works Company, Inc.",27.28B,140.13,-0.21%,4.05B
399,IT,"Gartner, Inc.",27.15B,344.49,0.58%,5.75B
400,MLM,"Martin Marietta Materials, Inc.",27.14B,439.09,0.42%,6.46B
401,FNV,Franco-Nevada Corporation,27.13B,141.26,2.01%,1.23B
402,FANG,"Diamondback Energy, Inc.",27.01B,150.68,0.76%,8.31B
403,WEC,"WEC Energy Group, Inc.",26.89B,85.25,0.18%,9.28B
404,EIX,Edison International,26.72B,69.72,-0.30%,17.17B
405,ANSS,"ANSYS, Inc.",26.70B,308.15,1.07%,2.17B
406,NWG,NatWest Group plc,26.30B,5.90,2.25%,14.66B
407,CBRE,"CBRE Group, Inc.",26.21B,84.59,2.43%,30.86B
408,NDAQ,"Nasdaq, Inc.",26.09B,53.17,0.83%,6.11B
409,WIT,Wipro Limited,25.90B,4.97,-0.20%,11.16B
410,AVB,"AvalonBay Communities, Inc.",25.89B,182.29,0.46%,2.70B
411,MTD,Mettler-Toledo International Inc.,25.84B,"1,181.70",0.53%,3.95B
412,HZNP,Horizon Therapeutics PLC,25.68B,112.15,5.14%,3.64B
413,TCOM,Trip.com Group Limited,25.55B,39.54,1.00%,3.66B
414,HUBS,"HubSpot, Inc.",25.39B,511.52,-0.24%,1.94B
415,GMAB,Genmab A/S,25.28B,38.27,2.24%,2.39B
416,RCL,Royal Caribbean Cruises Ltd.,25.19B,98.32,-1.45%,12.01B
417,TU,TELUS Corporation,25.13B,17.37,1.11%,14.77B
418,ILMN,"Illumina, Inc.",25.04B,158.20,0.08%,4.46B
419,MDB,"MongoDB, Inc.",25.01B,354.32,-2.51%,1.37B
420,CQP,"Cheniere Energy Partners, L.P.",24.97B,51.59,1.42%,14.55B
421,TROW,"T. Rowe Price Group, Inc.",24.76B,110.39,0.63%,6.26B
422,VOD,Vodafone Group PLC,24.68B,9.12,0.77%,49.68B
423,ZBH,"Zimmer Biomet Holdings, Inc.",24.54B,117.53,1.99%,7.20B
424,EFX,Equifax Inc.,24.53B,199.88,0.96%,5.06B
425,XYL,Xylem Inc.,24.52B,101.82,0.64%,6.06B
426,EQR,Equity Residential,24.47B,64.57,0.39%,2.82B
427,ELP,Companhia Paranaense de Energia - COPEL,24.38B,8.91,0.22%,4.15B
428,TLK,Perusahaan Perseroan (Persero) PT Telekomunikasi Indonesia Tbk,24.13B,24.36,0.12%,9.48B
429,SBAC,SBA Communications Corporation,24.13B,222.62,0.13%,2.72B
430,GIB,CGI Inc.,24.05B,102.04,0.54%,9.91B
431,WY,Weyerhaeuser Company,24.02B,32.87,0.74%,7.98B
432,ALNY,"Alnylam Pharmaceuticals, Inc.",23.96B,191.66,1.27%,1.24B
433,AEM,Agnico Eagle Mines Limited,23.94B,48.37,2.24%,6.06B
434,TTWO,"Take-Two Interactive Software, Inc.",23.91B,140.80,-0.44%,5.53B
435,TSCO,Tractor Supply Company,23.83B,219.00,2.56%,14.76B
436,RMD,ResMed Inc.,23.81B,161.88,0.56%,4.22B
437,MPWR,"Monolithic Power Systems, Inc.",23.60B,493.87,0.98%,1.85B
438,EC,Ecopetrol S.A.,23.48B,11.42,1.87%,32.91B
439,EBAY,eBay Inc.,23.35B,43.87,0.64%,9.94B
440,CHD,"Church & Dwight Co., Inc.",23.24B,94.44,1.22%,5.64B
441,TEF,"TelefÃ³nica, S.A.",23.06B,4.01,2.04%,42.55B
442,KEYS,"Keysight Technologies, Inc.",22.98B,129.26,0.05%,5.60B
443,ES,Eversource Energy,22.75B,65.17,-,12.67B
444,STE,STERIS plc,22.51B,227.83,0.63%,5.09B
445,CAH,"Cardinal Health, Inc.",22.50B,89.74,2.41%,205.01B
446,RYAAY,Ryanair Holdings plc,22.43B,98.46,0.84%,11.71B
447,DFS,Discover Financial Services,22.38B,89.53,0.89%,10.78B
448,DB,Deutsche Bank Aktiengesellschaft,22.31B,10.96,2.24%,27.49B
449,ALB,Albemarle Corporation,22.25B,189.64,-0.05%,9.66B
450,YUMC,"Yum China Holdings, Inc.",22.17B,53.34,0.55%,10.34B
451,SYM,Symbotic Inc.,22.11B,39.79,6.78%,1.03B
452,MT,ArcelorMittal S.A.,22.02B,26.27,0.73%,79.84B
453,MKC,"McCormick & Company, Incorporated",22.00B,82.00,0.64%,6.52B
454,HIG,"The Hartford Financial Services Group, Inc.",22.00B,71.93,0.20%,23.56B
455,BR,"Broadridge Financial Solutions, Inc.",21.98B,186.05,1.28%,6.06B
456,STT,State Street Corporation,21.79B,68.40,1.26%,12.33B
457,WBA,"Walgreens Boots Alliance, Inc.",21.73B,25.17,-0.36%,136.11B
458,HRL,Hormel Foods Corporation,21.71B,39.74,0.91%,12.27B
459,HPE,Hewlett Packard Enterprise Company,21.68B,16.79,1.02%,29.60B
460,WTW,Willis Towers Watson PLC,21.65B,206.50,0.44%,9.08B
461,DTE,DTE Energy Company,21.64B,104.97,0.05%,16.19B
462,RJF,"Raymond James Financial, Inc.",21.56B,103.23,0.94%,11.40B
463,GPC,Genuine Parts Company,21.55B,153.46,0.27%,22.88B
464,FICO,Fair Isaac Corporation,21.50B,865.00,1.54%,1.47B
465,BGNE,"BeiGene, Ltd.",21.39B,202.09,1.85%,1.81B
466,RCI,Rogers Communications Inc.,21.37B,40.32,2.65%,12.62B
467,NOK,Nokia Oyj,21.35B,3.85,1.32%,26.50B
468,IX,ORIX Corporation,21.31B,91.40,0.99%,18.98B
469,VRSN,"VeriSign, Inc.",21.30B,206.53,0.38%,1.46B
470,AEE,Ameren Corporation,21.09B,80.32,-0.16%,8.17B
471,MTB,M&T Bank Corporation,21.09B,127.10,1.21%,9.28B
472,BAX,Baxter International Inc.,21.09B,41.65,0.29%,15.02B
473,CTRA,Coterra Energy Inc.,21.06B,27.89,0.54%,7.76B
474,K,Kellogg Company,21.04B,61.37,0.21%,15.87B
475,SE,Sea Limited,20.99B,36.90,2.02%,12.74B
476,ICLR,ICON PLC,20.97B,255.30,-0.40%,7.90B
477,FE,FirstEnergy Corp.,20.84B,36.38,0.30%,12.89B
478,BRO,"Brown & Brown, Inc.",20.77B,73.23,0.22%,3.99B
479,RKT,"Rocket Companies, Inc.",20.75B,10.44,0.19%,3.68B
480,NET,"Cloudflare, Inc.",20.66B,61.83,-0.59%,1.13B
481,INVH,Invitation Homes Inc.,20.65B,33.75,-,2.34B
482,ZS,"Zscaler, Inc.",20.62B,141.34,-0.99%,1.48B
483,TECK,Teck Resources Limited,20.57B,40.17,0.50%,11.36B
484,CCL,Carnival Corporation & plc,20.52B,15.71,-1.19%,17.49B
485,ULTA,"Ulta Beauty, Inc.",20.46B,410.84,0.91%,10.73B
486,HEI.A,HEICO Corporation,20.46B,135.08,1.05%,2.49B
487,HEI,HEICO Corporation,20.43B,167.85,0.88%,2.49B
488,ZM,"Zoom Video Communications, Inc.",20.34B,67.57,-0.19%,4.46B
489,PHG,Koninklijke Philips N.V.,20.25B,22.01,-0.09%,18.96B
490,ETR,Entergy Corporation,20.15B,95.28,0.51%,13.32B
491,HWM,Howmet Aerospace Inc.,20.14B,48.86,1.41%,6.20B
492,DOV,Dover Corporation,20.14B,143.99,0.93%,8.48B
493,FCNCA,"First Citizens BancShares, Inc.",20.13B,"1,365.69",0.29%,15.11B
494,WAB,Westinghouse Air Brake Technologies Corporation,20.10B,112.23,0.46%,8.99B
495,TW,Tradeweb Markets Inc.,20.07B,85.53,0.27%,1.22B
496,GRMN,Garmin Ltd.,20.04B,104.68,1.29%,4.92B
497,ARE,"Alexandria Real Estate Equities, Inc.",20.03B,115.77,0.37%,2.74B
498,FLT,"FLEETCOR Technologies, Inc.",20.03B,270.84,2.11%,3.63B
499,NVR,"NVR, Inc.",20.02B,"6,139.85",0.97%,9.82B
500,AIU,Meta Data Limited,19.92B,1.04,-,15.14M
